,DATE,NAME,TEXT
0,"
                            
                              14 March 2020
                            
                        ",['Nags'],"
My sister is depressed. She breaks down every night. Tonight she called my parents and told them she is sorry for everything and she is not brave. Last week, her boyfriend broke up with her and when I asked her what's wrong she said that no one respects her (even me).
I care so much about her but the thing is that she hardly listens to me. She doesn't eat food and I feel it is spoiling her health too.
History: My sister has been having sudden break downs from past 8 years. But in this month it has gotten a lot.
If any one of you have experienced the same situation with someone or within your family, any advice is appreciated. I am so bloody concerned about her guys. Please help me out!

"
1,"
                            
                              12 March 2020
                            
                        ",['Saoirse M'],"
I started to feel more like myself last year as I made some progress with my mental health after feeling deeply depressed and anxious for a long time. I’ve just started my last semester of uni before I graduate, then I’m doing honours.
Last year my older sister and her husband decided to stop renting and start doing housesitting to save for a house deposit . I’ve never had a good relationship with her and I can’t stand her husband for extended periods of time. Knowing that there would be gaps in between the housesitting my mum said that they could stay with us, and they did for 3 weeks. I had told my mum that I didn’t think I would be able to cope if they stayed with us for longer than a week and that maybe she could set some boundaries for how long they could stay with us. She said that she would never turn away her daughter. It's my mum’s house so obviously I just had to accept it. During my uni break all I really wanted was to spend time alone to try to take better care of myself so I felt so disappointed. When they left I thought it would be the last time they would stay for so long. Then in January they moved back in (there weren’t any housesits because of the bushfires) and they’ve been here almost 3 months (now it's the coronavirus). They’re going on a short trip but after that it seems like they’re going to live here indefinitely.
Up until recently my sister was unemployed and was home with me everyday, whilst job searching she had frequent meltdowns. She has her own mental health problems is in denial, even though we encourage her and  my mum even gave her $1000 to pay for sessions she still hasn’t seen a psychologist. When my sister and her husband fight in the house makes me feel physically sick. Inside I could feel myself sinking to despair that I haven’t felt in years. It feels like I don’t have my own space anymore, the kitchen and the house is a mess because there isn’t enough room for their stuff.
 I’ve started seeing a new psychologist, I’m still on medication I started last year, and I go to yoga classes every week. But I don’t have the capacity to cope anymore. I’m so stressed by uni and by home that it feels impossible to focus on my assignments. I just feel hopeless and out of control of my own life. I felt really hopeful about this year in terms of my mental health getting better in a way that I have rarely felt, now I just feel crushed and I can't afford to move out.
I loved this house but it doesn’t even feel like my home anymore.
"
2,"
                            
                              13 March 2020
                            
                        ",['emmalou'],"
Hi There
Just posting as a way to vent frustration really.   I feel there really isn't a lot of help out there for people with a mental illness.  I've seen 2 GP's for depression in the last year.   They've recommended talk therapy which I've tried but feel like it's just a band aid really.  I feel fine when I'm going, but can't always attend as it can be expensive even on a mental health plan.    Saw my GP 2 weeks ago and made an appointment to see a psychologist on my latest mental health care plan,  but can't get into to see her until next Saturday.  I made the appointment straight after seeing my GP, which means I've had to wait 3 weeks overall to see someone.   Have tried to see someone through my work but can't get in to see someone for 2 weeks there either.  
I've tried everything but medication really.   Tried yoga, meditation, exercise, eating right.  But nothing seems to get rid of my depression.  Just incredibly frustrated with the whole thing.  
"
3,"
                            
                              7 February 2020
                            
                        ",['Pandora Paradoxical'],"
Hi, I am a 39 year old woman who has undiagnosed (but definitely) BPD and I have just ruined another online relationship with somebody because I couldn't handle yet another burst of emotional dysregulation.

I have tried to undo the damage with all my heart, but my friend is not responding (and probably rightly so) so now I am spiralling along the path of yet another rejection (but also knowing that it was self inflicted, of course) and am back to being crushingly lonely and craving connection with another human being.

I prefer online contact now because it means I can't 'mirror' the other person like I do in a physical meet-up, which means I allow my 'true self' to shine through, although it has lead me to interpret written words in the wrong manner and was the main cause of the last disaster.

So, how does a person with BPD find friends?

I am aware that I have many qualities and gifts to offer as a friend, but when I have a BPD episode (even if I have informed the other person that I have it and what it is) my friends are often horrified and unable to reconcile the 'me' they thought they knew and the emotionally crashing mess in front of them. Enter awkwardness, enter apologies, enter....rejection. And I didn't mean to do it, not one bit. I just get overwhelmed, trapped in a vicious cycle of self doubt, needing constant relationship status reassurance and wondering whether I am good enough for the other person. 

Actually, after the storm passes and I have purged, I have more clarity and better resiliance to the matter at hand...but unfortunately, the other person has usually already bailed. Also, ironically, this does NOT happen on any other level in my life - it is ONLY when I have a close interpersonal relationship with someone that I like. If the other person is abusive or violent or aggressive....I am cool, calm and collected, with all the right responses and an incredible amount of tolerance. I don't understand it, but that's the way it is. It also means I am at risk for seeking out such terrible people because it is the only time I feel in control. Thankfully, my rational mind knows that is bad news and I steer clear.

But where to from here? If I can't deal with liking someone (or they like me) and I can't be around people who are, well, nasty - what is left? How am I supposed to stop being lonely if I can't connect to someone? Anyone?

Do I look for people who have BPD? Will it mean that we will be more understanding of each other or will we feed off each others fear of ultimate rejection?

Do I look for people who have experienced another person with BPD and hope that they can understand me?

Or do I have meaningless, casual relationships that never go beyond generalised chit chat?

Any advice is welcome. I am floundering, exhausted, embarressingly desperate for a connection of some kind but also scared to involve another because I am well-aware of my capacity to hurt and confuse them with my outbursts and this is by far the worst torment I suffer - my negative impact on others (on occasion).

My attempts to control my behaviour with self-help books and research has clearly failed, so I am currently looking for a BPD therapist in my area.

Thank you.



"
4,"
                            
                              12 March 2020
                            
                        ",['AverageAusGuy'],"
Hi all
I have had anxiety and depression on and off my whole life. Over the past year though it has gotten progressively worse to the point where I am barely getting through each day. Thank god I have a loving and supportive wife.
It all started going downhill about a year ago. I stopped speaking to my small group of friends (I live in the city) and really isolating myself. I basically just worked, went to the gym, and spent time with my wife on weekends.
 I didn't realise how important socializing was for mental health. I told myself that I didn't need anyone and kept doing my routine. Over the past year though I found myself doing less and less. Besides work, gym, and my wife I didn't really do anything. I got really good at distracting myself with YouTube, Facebook, and podcasts but on the inside I was struggling.
 At the start of this year a close family member of mine passed away. I also just found out my mum has cancer. My wife and I live away from our home town so it has been difficult being away from everyone back home. 
I have the shakes constantly and have lost some weight because I can barely eat due to stomach cramps. I am writing this at 2am in the morning because I struggle to sleep.
My wife and I have decided to move back to our home town to be closer to friends and family. I am nervous about finding work but am also hopeful for a better future. We have some savings and are debt free. We both have qualifications and have good work references. We will be staying with my brother and I am looking forward to spending more time with him.
Anyway thats my story. If anyone else has moved back to their hometown to start over, please let me know.
 
"
5,"
                            
                              12 March 2020
                            
                        ",['clovermead '],"
Hi
I have always suffered from anxiety but have had it under control with medication until now! I am suffering from paralyzing anxiety and depression brought on by my husband's suicide in Oct 2019. For the first 4 months I was doing ok...but when I started counseling I crashed and burned. Now my life is out of control physically, emotionally and  financially... just need to know that life will become functional and productive again!
Thanks for listening.
"
6,"
                            
                              10 March 2020
                            
                        ",['Caitlin0204'],"
Hi all,
its kinda hard to put into words how I feel but I’m going to try.
Ive had anxiety for a few years now, it used to be really bad about 4-5 years ago but I got it under control. The past 5-6 months I’ve had some pretty shit things happen in my life (workload, family issues and issues with my partners family). I thought I was handling it well and then one day I woke up and realised I needed help, I wasn’t doing ok and I noticed my moods were very low. 
I went from absolutely adoring my partner, planning a future, booking holidays, doing life things that made me happy to having no “love” or “joy” from anything. My relationship has turned. I’m so distant and have no sex drive, I have no desire to do the life things I wanted to and no excitement for my big European holiday this year. This also brings out my anxiety and makes me feel worse.
im at a total loss. I started seeing a psychologist but I just find I can’t get out of this depressive state (only been twice now) 
I noticed tonight I can go from being how I use to be to quickly going into this depressive state. 
I don’t know what to do, its really affecting me socially and my relationship with my boyfriend and family.
I just wanna know the way I’m feeling isn’t just me going crazy in my own head and there is a way to deal with this feeling or lack of feeling.
 
thanks! 
"
7,"
                            
                              12 March 2020
                            
                        ",['Allymay94'],"
Long story short my bf broke my heart I lost it and screamed cried. I didn’t want to hurt myself or do anything stupid I just couldn’t handle the pain of it. I had to have a Valium to sleep. After waking up I felt exhausted and numb like thinking what he did to me it’s like my mind couldn’t see it straight and I couldn’t feel the sadness of it. I hate feeling pain but I’d rather feel something than nothing at all. Just a short back story my mum killed her self 9 yrs ago I found her, after a couple of days of still being in shock I guess I felt numb ppl said I was really strong but I just blocked out the pain and couldn’t talk about it. Is that what my mind is doing when it’s over powered with to much emotion it wants to shut down? Is that healthy? I’ve also got GAD so I over analyse things. I can still feel sad but the big things I block out. 
"
8,"
                            
                              3 September 2019
                            
                        ",['angelkattie'],"
I think i have depression i havent been to a professional and minor anxiety i have collapsed once overthinking and crying and not being able to breathe for no reason. Im not sure how this forum really works so if someone wanted to help me that would be great  
"
9,"
                            
                              2 July 2018
                            
                        ",['Nikita12'],"
Hi,
I’ve had depression for 15 years but I was still quite high functioning until 2 years ago. At that time my world fell apart. My depression has been so severe and the most distressing symptom is the memory loss. I don’t remember hardly anything about my life and it’s like my memory is being wiped from minute to minute. I have forgotten all of the knowledge I built during my career and I’m unable to retain any new information. My vocabulary has been reduced to only a few words because I’ve forgotten the rest. I go to places I’ve been going to for twenty years and they don’t feel familiar. My psychiatrist says I’m suffering pseudo dementia.
I’m just wondering if anyone else has experienced the same thing. I’ve been to a lot of depression support groups and no one else reports this symptom. I just want to know im not alone and to hear from someone who understands.
 Thanks for reading.
"
